id,x,y,z,yaw,pitch,roll
1,-284.897,226.139,-12.5833,2.44834,0.0141315,0.0375936
2,-285.116,226.325,-12.6053,2.44817,0.0130981,0.0394693
3,-285.339,226.522,-12.6087,2.44841,0.0125941,0.0365091
4,-285.559,226.722,-12.6184,2.44877,0.0118936,0.034006
5,-285.779,226.916,-12.6221,2.44997,0.01112,0.0319637
6,-285.998,227.112,-12.6256,2.45035,0.0109201,0.0315353
7,-286.213,227.302,-12.6227,2.44978,0.0104601,0.0320315
8,-286.423,227.481,-12.6206,2.45009,0.00962041,0.0330362
9,-286.625,227.667,-12.6209,2.45089,0.00816869,0.0337808
10,-286.828,227.843,-12.6165,2.45093,0.0069785,0.0335859
11,-287.038,228.031,-12.5992,2.45128,0.00287498,0.0327802
12,-287.228,228.196,-12.5976,2.45097,-0.00147802,0.0340886
13,-287.428,228.362,-12.6185,2.45066,-0.00372212,0.0368792
14,-287.619,228.522,-12.6351,2.45026,-0.00327419,0.038348
15,-287.801,228.682,-12.6454,2.45048,-0.00186142,0.0394642
16,-287.974,228.828,-12.642,2.45077,-0.00071551,0.0398373
17,-288.154,228.988,-12.6483,2.45112,-0.000462652,0.0400395
18,-288.327,229.129,-12.6707,2.45153,0.00171805,0.0408775
19,-288.493,229.278,-12.681,2.45238,0.00478347,0.0402558
20,-288.663,229.424,-12.6775,2.45265,0.00662918,0.0377589
21,-288.82,229.56,-12.6703,2.45302,0.00662719,0.0353707
22,-288.98,229.697,-12.6762,2.45396,0.00621319,0.0349177
23,-289.135,229.832,-12.6906,2.45367,0.00671494,0.0365774
24,-289.293,229.96,-12.7096,2.45353,0.00973384,0.0387527
25,-289.44,230.077,-12.7186,2.4541,0.0120351,0.0412297
26,-289.598,230.216,-12.7172,2.4553,0.013844,0.0432709
27,-289.728,230.337,-12.7048,2.45543,0.014632,0.0445362
28,-289.876,230.467,-12.6949,2.45456,0.0138865,0.0442409
29,-290.006,230.581,-12.6825,2.45527,0.0121062,0.0436657
30,-290.137,230.703,-12.6859,2.4563,0.0100554,0.0431604
31,-290.275,230.819,-12.6892,2.45639,0.00893228,0.0424948
32,-290.409,230.938,-12.6687,2.4569,0.00646162,0.0403824
33,-290.528,231.06,-12.6726,2.45639,0.00285549,0.0406531
34,-290.677,231.174,-12.6671,2.45601,0.000101117,0.0403839
35,-290.79,231.278,-12.6269,2.45595,-0.00540578,0.039032
36,-290.929,231.398,-12.6271,2.4549,-0.0133166,0.0393454
37,-291.059,231.503,-12.6801,2.45517,-0.0146729,0.0402708
38,-291.184,231.612,-12.7388,2.45536,-0.00950439,0.041187
39,-291.308,231.709,-12.7782,2.45591,-0.00110002,0.0422733
40,-291.417,231.813,-12.7504,2.45647,0.0046177,0.0417835
41,-291.543,231.925,-12.7203,2.45627,0.00277128,0.0431259
42,-291.665,232.04,-12.7266,2.45527,9.73899e-05,0.0466619
43,-291.796,232.14,-12.7453,2.45397,-0.000212319,0.0520043
44,-291.932,232.254,-12.7538,2.45362,0.00142489,0.0558988
45,-292.05,232.359,-12.7557,2.45419,0.00359377,0.0554372
46,-292.168,232.461,-12.749,2.45492,0.00620563,0.0513292
47,-292.275,232.558,-12.7443,2.45566,0.00728775,0.0473519
